place seed coverage final aulc
 2 23 0.2500 0.6410 0.6395
 3 23 0.2500 0.6870 0.6825
 4 23 0.5000 0.6950 0.6921
 5 23 0.5000 0.6960 0.6945
 6 23 0.7500 0.7770 0.7807
 7 23 1.0000 0.8380 0.8442
 8 23 0.9167 0.8300 0.8374
 9 23 1.0000 0.8400 0.7768
10 23 0.9167 0.8310 0.8087
11 23 0.5000 0.6730 0.6723
12 23 1.0000 0.8370 0.8144
13 23 0.5000 0.6730 0.6725
14 23 0.5833 0.7010 0.6990
15 23 0.7500 0.7320 0.7349
 0 24 0.2500 0.6300 0.6331
 1 24 0.2500 0.6750 0.6685
 2 24 0.2500 0.6740 0.6813
 3 24 0.2500 0.6740 0.6709
 4 24 0.5000 0.6660 0.6724
 5 24 0.5000 0.6690 0.6730
 6 24 0.7500 0.7810 0.7847
 7 24 1.0000 0.9380 0.9476
 8 24 0.9167 0.9140 0.8745
 9 24 1.0000 0.9360 0.9422
10 24 0.9167 0.9100 0.9104
11 24 0.5000 0.7280 0.7280
12 24 1.0000 0.9410 0.9473
13 24 0.5000 0.7280 0.7215
14 24 0.5833 0.7370 0.7303
15 24 0.7500 0.8150 0.8222
